objectid,codigo,area_m2,area_ha,shape_leng,st_areashape,st_perimetershape
1,Cuenca 5,14415444.481,1441.5444481,19966.1105276,30591662.7006776,46519.6971190439
2,Cuenca 2,19377145.605,1937.7145605,28915.7046662,29030422.2273505,47822.2944041217
3,Cuenca 3,8856387.17778,885.63871778,25694.9425232,9016478.80273834,25911.6464223103
4,Cuenca 4,7594227.25428,759.42272543,13522.8254315,25867562.1343835,45266.4082381426
5,Cuenca 6,34405945.4922,3440.59454922,39730.3043212,35032443.1016222,40106.9508901905
6,Cuenca 8,16226197.0134,1622.61970134,30708.2181678,16521233.6803146,30971.7942088635
7,Cuenca 7,19377145.605,1937.7145605,28915.7046662,24090723.9084223,77322.3242036745
8,Cuenca 1,19377145.605,1937.7145605,28915.7046662,10044123.5434614,23953.2022145045
9,Cuenca 9,14415444.481,1441.5444481,19966.1105276,2994117.9511546,13321.2577091287
