X,Y,objectid,linea,nombre,codigo_mpio,municipio,sistema,tipo
-75.5540786933622,6.27325743471826,149,2,Parada Manrique (Línea 2),05001,Medellín,Metroplus,Parada
-75.5540235502785,6.27324829730172,150,2,Parada Manrique (Línea 2),05001,Medellín,Metroplus,Parada
-75.5550441307643,6.26766778110658,151,2,Parada Gardel (Línea 2),05001,Medellín,Metroplus,Parada
-75.554990729514,6.26766326458667,152,2,Parada Gardel (Línea 2),05001,Medellín,Metroplus,Parada
-75.5820552748019,6.23173679387137,153,2,Parada Nutibara (Línea 2),05001,Medellín,Metroplus,Parada
-75.5820581601905,6.23186520292284,154,2,Parada Nutibara (Línea 2),05001,Medellín,Metroplus,Parada
-75.586562004903,6.2316142134474,155,2,Parada Fátima (Línea 2),05001,Medellín,Metroplus,Parada
-75.586564113249,6.23174271629464,156,2,Parada Fátima (Línea 2),05001,Medellín,Metroplus,Parada
-75.5909682269986,6.23153956427967,157,2,Parada Rosales (Línea 2),05001,Medellín,Metroplus,Parada
-75.590970014646,6.23159618898699,158,2,Parada Rosales (Línea 2),05001,Medellín,Metroplus,Parada
-75.5967473173934,6.23133031204966,159,2,Parada Parque Belén (Línea 2),05001,Medellín,Metroplus,Parada
-75.5967500069493,6.23139602670513,160,2,Parada Parque Belén (Línea 2),05001,Medellín,Metroplus,Parada
-75.6010240527306,6.2311097131742,161,2,Parada La Palma (Línea 2),05001,Medellín,Metroplus,Parada
-75.6010278759605,6.23117775146433,162,2,Parada La Palma (Línea 2),05001,Medellín,Metroplus,Parada
-75.6051663794401,6.23102311548321,163,2,Parada Los Alpes (Línea 2),05001,Medellín,Metroplus,Parada
-75.6051687339245,6.23109274155316,164,2,Parada Los Alpes (Línea 2),05001,Medellín,Metroplus,Parada
-75.6092248969268,6.2306668818317,165,2,Estación Universidad de Medellín (Línea 2),05001,Medellín,Metroplus,Estación
-75.5566589881332,6.28520013148265,166,2,Parada Parque Aranjuez (Línea 2),05001,Medellín,Metroplus,Parada
-75.6092248969268,6.2306668818317,167,2,Estación Universidad de Medellín (Línea 2),05001,Medellín,Metroplus,Estación
